src	count	type	dst	words
q'	0	replace	qʼ	
k'	0	replace	kʼ	
c'	0	replace	cʼ	
t'	0	replace	tʼ	
č'	0	replace	t͡ʃʼ	
p'	0	replace	pʼ	
A	22	replace	a	Abdulla A Allaχ, Azerbajǯana Azerbajǯan, Awalais Azerbajǯana, Allahara Awalaj Abdullara A? Allahad Awalajdɨ Abdullas
B	2	replace	b	Babaj
D	3	replace	d	Darsbɨr Daɣistande Daʁɨstandɨ
E	2	replace	e	Edemiela Eto
H	17	replace	h	Haj, Hawalaj Ha Habiše Hej Haila Hada Hej, Hanuwa Haj Hajeʔdɨ
I	9	replace	i	I Iχdɨ Iχdɨletbɨr Iitxujne Idɨlʲ-adxa, Ilad Ibram
J	3	replace	j	Jena Jes Jiz
K	10	replace	k	Kusuraʔa Kašir K'ɨb Kurban-bajram Kusura
L	1	replace	l	Liwir
M	22	replace	m	Mirzaχaɨs, Mi Mɨˤχadila Minowa Musurman Mid Maˁhaˁmaˁd Mirzaχan Mibɨr Mixdaba Magaldɨ Mɨˤχa Mɨˤχaa Mɨˤχabišdɨ Miχri ɢM Minow
N	8	replace	n	Nowgorodde Nikolajdɨ Nizir-baba, Nikolaj Nikalaj Nik'alaj
O	1	replace	o	Oktjabrь
P	1	replace	p	Pejʁambar
R	43	replace	ʁ	xeR\i-lera Reč'ur geRira\?g ma|Rʷ, eRidxur Raguga Ramazan jaRmiškilšimb\i-r jaRmišdaʔara Rargʷar\i-ma geRerč'us qudRuga Ramazana RurRa hemiRiRad\i-jex\i-r Ra [R Ra\?g geRilera im[R]
С	1	replace	s	Сetχɨr=xwa
S	13	replace	s	Sada Siftäd Stroitelnɨj Sa Su Saq'ɨˤne Siftä Sawaχtindi Sɨwɨmɨlaχud Salman
T	2	replace	t	Tɨ Ti
U	6	replace	u	Ustala? dUtmiš Ušla Uraza-bajram, Uslowno
V	1	replace	v	Vilikiy
W	5	replace	w	We uxurxWa Wali-baba Waʔ. Wad
ǯ	368	replace	d͡ʒ	ǯigɨj ǯiwɨlcadijden juǯur ǯis iǯlasde ǯɨhil ǯɨžɨtʼi dajjanaǯaɣ ǯamaˤʔatis ǯaˤmaaˤtikʷan ǯihileše juǯurna qapǯej, ǯudɨ juǯ... jüǯür ǯudubɨr. ülǯümed ǯula ǯac'ad ǯɨʔɨtʼi ǯišira juǯ ǯazɨ ǯigijadɨbɨr ǯuu, beǯed ǯalgɨr, iǯilas xaǯaladxa ǯukan, ǯilǯilim, riǯi ǯigij, guǯe-guǯ saǯirkar ǯɨgad, giǯiq'ɨd ǯigɨj: ǯibra ǯamaʔadid q'eqǯikɨr ǯɨwɨra ǯukʷan a|ǯizd\i- ǯigabɨr ǯamaat kiǯikad ǯixil ǯamaˤʔatid ǯibra... guǯa-guǯ üǯ ǯus χuǯutkur ǯükla uǯar ǯilis, jiǯdɨ ǯukan juǯudɨ [ǯi...] [ǯudɨ] ǯiwɨraxa beǯ ǯu ǯendida uǯuʁdɨ ǯamaʔatis ǯɨwɨr. giǯirxɨne jüǯ ǯan ʁɨˁrǯ ǯuldɨkaldɨbɨr ǯibraqud maǯlis ǯudu eǯwixɨra ǯüda χuǯudkur ǯibraa ǯihiler χakǯaq'ɨrijden ǯiga iǯilasda ǯaˤmaaˤt ʁaǯagujne. giǯirxara, jiǯ ǯaˤmaaˤtid sičuǯun hajǯan ǯuduxa ǯagʷardɨ ǯike ǯuʔu ǯins ǯaˤmaaˤtira ǯuldɨ guǯekan haǯi ǯuu riǯ ǯič'edira ǯuda ǯišir ǯi gezilbenǯir ǯiršir meneǯir gʲaǯarhɨr geʁǯedqud qiǯirq'ɨr ǯubed ǯiddɨ iǯlas ǯigij mičǯigɨjekla ǯamaˤʔatira Azerbajǯan, ǯac'adilaquʔ ǯesuqwaj, ǯuʁuˁra maǯbɨr ǯinad juǯ, ǯa ǯigɨj, ǯudu. ǯugʷalbɨr ǯac'abiše ǯusu ǯinaše keǯibra jjuǯ azerbajǯan ǯʷer beǯna ǯuχda ǯip kiǯikad, ǯɨgɨj, ǯamattira ǯanaj Azerbajǯana, ǯihil ǯibrädɨ wiǯ ǯamaʔad ǯigɨj. ǯʷerxʷa ǯigɨ ǯehilešdɨ, ǯura haǯargʷad, ǯin ǯud\i- Azerbajǯana giǯirxara ǯamaˁʔatijera kiǯɨxɨˁd usturuǯwali ǯipkal ǯuhüra uǯaʁ ǯɨwɨr риǯ ǯar mɨrǯi ǯijnašdɨ toǯe ǯuˤura ǯɨɨr ǯüduχud ǯilɨs, ǯidɨ ǯišijne juǯxa xibarǯiken ǯurad giǯ.
G	17	replace	ɢ	GačaX Guruwuruurij Gaq' Gačax G\i-r\i-c' Gačaxwald\i- Gala gʲaGa Garijera Gruzinara gʲaG\i-r GačaXad gʲaraG
γ	4	replace	ɣ	wɨγliraxa wɨγlira wɨγlešis wɨγɨl
ö	5	replace	ø	kulönka wsö kulönkaja qʼöölmɨ
š	1301	replace	ʃ	ɢüšim hišir=xʷa, šahatb\i-r guniɢomšijera χɨnimeše šejtanmašdɨ sešun mibeškan rɨšera wišine ǯihileše dišir, leqirxurdiš=xa. ʁadiši č'abališdɨ hiš habiše lešur, diš. rešir ütmiš aqɨbišdɨ rɨšekan qileradiš šakallɨ lewšur, šuwišɨr jawɨš begemiši wiššij adišd\i-, adɨš wišij χadiš leqeršur abišis lešur lewšus kidišna rɨša ɢušim=xa ilaamiš ninebiše šaferara ɢušim warl\i-ješis ješik habišexa qišidʲa ekijišir rišira riši, ad\i-š, mɨč'aqɨšira šumub mibišikan, juldaš xaiš šuwbɨr išuw. χɨnimešis šadana šiw sijenabiše geš rišina jaRmiškilšimb\i-r šildɨ insanašdɨxa šu hišitixujne dibirašiχdaxa deduškaes, mabdiš. dišijne=xʷa dišir=xʷa haʔabiše kedɨš insanadšdɨ, χɨnimiše wiširijden habišda. lepšura štraf gaˤšdɨ gadieše wichšir hišidʲaklaquʔ leqʼešur šarik lešus ješike dišidja sürgündiš narušenijebɨr šubešdɨ šuwdɨ jišine. ǯiršir qaʔardiš jakušir jišira uʁardɨš juldaše č'abalešis aramiš mibiše šudbɨr adišdɨ rišira, rɨš imejušʲee rišbišexa hišiga, ɢazamiš dišd\i- wišira šɨw šuwgade rɨšeda qawaʔardiš q'asdɨbiše jišine, išarmiɨ jaɣmiš xɨleše ublešdi jišixur jawaš adišii wɨglešir q'ušdɨ haʔadbišdɨ biše wišira, rišeχda χanimešdɨ rɨšbišeχda jaχši paččahašda, šuw? wišir=xʷa. habišxa mašinma wiširxʷa daškala ublešda juš... hiširdiš hišir=xʷa narušenije hišir. ašuw hišijne χadišma adiš ɢüšimara=xʷa ilamiš haš hišidʲaquʔ, elektrikašdɨ hɨgardiš ǯijnašdɨ č'abalešdɨ habišɨxda huš liš ǯišijne zaweršatь kasibašis hušerxa tamaš dišir mibišda pɨšedɨ mibišdɨ damašnij=ka, ɢušimaa jišijnexʷa dišnaišine habišda jaRmišdaʔara uboršʲitsawalikun, uslɨšala juldašir hišijne=xa, mibišis rɨšeχda rišis ublišikan išir babajmašdɨ baše bišdɨ išiga jaʁmiš ruurd\i-š habišeχda lešusɨ gʲaqaɢardiš. hišira. zamhˤadkeš d\i-šma roditiliše ješemiš alkašera dišxʷa haʔasadbišdɨ, hiširxʷa jaʁmɨš ʁamadɨš jaʁmiškitšir šeitan lešurne sasabiše hɨkɨsdɨdišij" awtomašinmɨd rɨšbe rišpexa dišɨ hušer=xa haʔasdiš jišidi alkašišiχdaxa kidištɨbɨr šiwi? rišes Kašir juš χɨnimešxa šejtan jišir, išijne adiši ješira dišinexa mešukma ruʔurdiš, maladʲoš dišir=xʷa. Xajiš qilšir=xʷa ninebišdɨ hišij rišxa adiš, wešna wiširajxa hɨkɨsdɨš jišine riši wišir hišidid ɢušimakʷan ɢušim, hichšir alkašer amadišna, "šuw wiši hišɨne mešatʲma šube gašekʷan ruxʷardiš qudbišisxa k'ušdɨ ješerij jišidnowdɨ kilxedɨš lešur=xʷa rišijmar jišira. dišir=xa wɨlc'ardišij xɨlešis jišinexa... rɨšed šumud šuwdi lɨšan ǯac'abiše leqešur, madišij. šuwga mabdišma šuw, insanaše raˤʁabišiχdaxa wɨšga uš... adišxur leqeršur, balaskibiše dišijxʷa, rišijne, lekebčurdɨš dUtmiš warl\i--ješ-da ješiked habišdɨ dišid edemiješde adišna rɨšxa leqešur dišine, gaˤšdɨ, šejtanad insanašis wuš ʁarčekanešik čakalmaše šud wišijxu hɨgardɨš, kidiš šihibɨr dawarašis wušgade šahadwalikan. nesdɨbišdɨ šariatikan hišid suzmiš kaširakan šumdɨ šik\i-lʲa tanɨšwaldɨ-bilišwaldɨ abišdɨ jušemisa insanaši paččahašdɨ šigɨjed hac'ardɨši aʁmiš dišij. mibišiχda hamɨʔdɨbiše riš hajiš ʁowgurdiš šuwruura... qurʁusdiš" ǯišira erimiš xinimešiχda kart'uška ʁagʷardišij, lebšur gašdɨ sabiše arämiš alχɨšbɨr sedübʁurdišij. rɨšekʷan ruʔurdiš jɨˤχɨˤrdiš šuwna, mačχulatmiš rešerij=xʷa χɨnimešiχda ad\i-š ɢazaʔamiš xɨlešikan dišira šuwdɨxa babajmaše ʁagʷaddišij. rišiimar č'abɨlešis diš: lewšura bišis didebiše ʁawurgʷaddišij ʁedibʁurdiš šɨw, išira wišidʲaquʔ ubleši šɨwdɨ rešenie šak lewšus, šešun rɨš, ʁadiš habišexdaxa rɨšerna riširijden šuwna alkašeraxa adiš. qušimada wiširdiš šur rɨšʲa šutkabɨr mašinad haˤmiše riširama? šübe ješebaše šal qiriš, wɨšaˤrχɨr wiširdiš=xʷa, rišeraxa dišijnesɨˤχɨr jišir qišir habišdɨxurxʷa xɨlešdɨ diši, šakall\i-diš hac'ardɨš č'abališik begemiš didebišdɨ ješemišdišir Habiše juše rišbiše hammeše. lewšur. älgardɨš šašlɨk-mašlɨk lešudid, mašinbɨr Ušla wɨɣleše qušim adišma hišira šiwijden. rišijne diširxa habišisxa lekuwšudʲaqu dišijne ǯinaše dišijne, dišχurxʷa wišir\i-ma? palankaši dɨš siimbiše χɨnimišis šejtanmar dišej sinbišis weš išleg rešira rišbe urusašdɨ rɨšes šalbɨr, läjerkardiši juše, dɨšɨ ǯehilešdɨ, ublešir uˤtmiš šuwxa mihmanašda rišijmašdɨ mišatwaldɨ šahadašd\i- jušed gaˤš-dɨ jahmiš edemiješis qewitardiš Mɨˤχabišdɨ hɨʔɨrdiš mašikʷan huš, šuwgadi dadamiš kawaardiš wišir, eweldɨbiše qiršir qaardiš. mabdišdɨ. ruurd\i-š, gadieša šumdiχda kišixda. mibišdɨxa tɨlɨjmaše lewšur ʁarčekaniše nišij=ka šiwijden bezmiš habišis haˤšdiji šiji šadlɨhana --woobchše hišir sinbišiχda diš maˤʔlimaši jišid hiši hejwanmaši šakarɨr habiši wɨš dušmanar hišir, hišira, kɨšniš, šiwi lekuwšudilaqu šarak hišine šuuw awarašdɨ išdɨ madd\i-biše ɢaʔazamiš lekewšus wɨγlešis dišir. mišuk' ješɨr rišir=xʷa. šuwdɨ, jišinexa jeribiše vapše lekešur rɨšna insanašdɨ wešdɨ ubliše šus ruʔurdɨš haˁapbiše ʁamadiš. ješikbɨr leš rɨš. diš, hɨkɨsdiš Мibišda=xa rišir sienabišis jišidilaqu, ješikima ǯišir χɨnimešda habišikla dibiraše mibišiχda, ekrirgardiš rurusdiš utamiš šapkʼa lekewšurdʲaku kašir čalɨš madɨš diši jaxši hišit'i=xʷa jišemiš madiš. hac'ardiš wiširaj wišijne išid šuχda hišidila r\i-š šudda riširama, maʔardiš. rišid susmaši surukladɨbišdɨ=xa hemibišis qaʔardɨš šeherma hac'ɨrdɨš gidiš laɢɨrdiš hac'aradiš. šihi jidq'ɨddiš šuw behemišidʲaku sašuw wiširaj. šuma jišin ɢušimara ješik'e dišij ʁɨrčakanašis nesdɨbiše dišijma dišij, edübʁürdišij, hac'abišis hɨwɨsdiš šaxadwalikan deduška, šlʲapa qumšsijmašis
č	356	replace	t͡ʃ	eʁelč'ur elč'utxa Gačax paččahad... Reč'ur ačix (ʁ)reč'ur kiwčir čat' paččahakla č'abaler ladɨbčira bɨχče... paččahašdɨ ʁeč'ura muč alčax čabɨlerxa gičes ičirdɨ paččah ričxa čara leqʼečʼur č'abališdɨ č'elila čardax leqʼečʼud, čʼelikʷan. haliče GačaXad lebčura, heč'uraj nača lečʼur, načaʁdɨ ʁarčekaniše čto selč'ujne wergič gičinera čʼelbɨr pʲatničnɨj Gačaxwald\i- ɢeči ɢičinira č'ɨlila bačokma eqečʼur elč'ur alčaχad seqʼečʼur xač mačχulatmiš paččahada. GačaX gičerij ač'irxɨra ač'ipxa, qʼičʷilkara eqečʼud čem ladɨbčirij kičdilkara=xʷa č'abɨlešis <χuʔgeheč'ur?> alčaχdɨ χač'irχɨjne ačɨχ č'ar leqʼečʼur, lečit ʁɨˁmče selč'ura bɨχče ʁačulqarij lebčura xačbɨra eqečʼu, gič' sewčʼur, č'arlaˤmp' xɨrč'inbɨr ʁačekanes č'adbɨr lejč' χač'irχɨr=xʷa jarɨmčuχdɨ χač'irχɨr, čerez p'eče lelč'ur zamečanije počti čʼilɨla xačalmɨχda čuldja, mɨč'aqɨšira čej ʁarčekajne keʁelč'usdɨbɨr philologičeskij čat'ɨlɨla gurč'ur eʁeč'usdɨ gič'ira č'elilad hɨnči xačatɨnwaldɨ xaliče gijč'esɨ juč'ud eqečʼujne, eʁelč'ura otličijem sečur. külč'ür č'irč'ik lebčura. leqečʼujne, č'abal ʁeqerč'ur seqʼečʼur, sečuˤr, xačalɨχda ekerč'ura čitɨri geʁijič leqečʼur č'atbɨr keʁojčir čʼitʼkʼɨd kipčira sičuǯun mɨčeb χač'irχɨjne=xʷa, paččahara bačokbɨr načaʁ χač'irχɨr ʁačulqudaqu obespečenije paččahaχda ʁɨrče laˤjčir paččaʁad čiq'id ač'irxas eqeč'ur čulde tɨbč'imɨ. geʁiʔič eč ǯič'edira xačbɨr č'abališik sač'ipxa, eɣeč'ur? čat'ɨnjixur sečʼur haličebɨr ič'edika čʼel čabal zaočnɨj abɨčaj kučijma čapar paččahas č'abalešis čalɨš lač'irxɨne χunče mičǯigɨjekla poručenije č'el bačoka čiwekʲbɨr ilčiwald\i- čijed äčuχur mɨč'aqa keʁerlčʼur seqečʼur hačurkari čapaldɨ čerep pɨč mečeta ʁewč'ur ɢannajučub č'ilila čat'bɨr priručat heč leq'eč'ura küč'ür kičitqɨr mɨč'aqdɨ čatɨndɨ čejlaʁa lečʼud ečbɨrxa lečʼuranijii leqečʼur, paččaʁara paččaʁ=na gʲič'snira č'iˤh ehelьč'ur alčaχ kičdirq'ara ničego lekebčurdɨš ačuχ gič'era lebčud jičʼdɨ čatɨnwaldɨ eč'ur paččahašda, lečʼur serdečnɨj wič χač'irχara. kučlid lepčurij čirčiraj sejčas qannajuč'ud č'ilɨla ʁarčekanešik ʁɨrčakanašis čakalmaše čaq'al sačwilɢara seqečʼur, ʁeqeč'ur, uʁrač otmʲečat paččahaχda, č'abalešdɨ geRerč'us gič'ad ečbɨr eʁeč'ur čatɨn ʁarčekaner č'at xunče jaxči eqečʼur, načalajmɨs lalčir kičilkara
ü	149	replace	y	ɢüšim ɢüdürɣe qʼudhüra küdubxura kühned sürimikan saˤbhüra. dʲülqes dülьqʼera düzdaʔara dülqerij güzet süddida lʲaqʼaˤbhüra jüǯür sürgündiš sürgün ühut alütkür dülqera. ülǯümed dülqʼed ʁedegürij düʁürʁeˁra dülqera sülgera ütmiš sedübʁurdišij. südq'üne qʼündɨ südqʼür qü sürq'ud saˤqʼaˤbhüra südq'urani külu qʼühura südürqʼerij sürgüna xü küč'ür qʼüne küpejoʁli küwq'ur dülqera, üǯ setʁüra ǯükla sedübʁüra müqʼʷaˤ süd... sütkür sutkür=xʷa, qühüra. dünjadi qʼüdhüra qʼudhüga süt süpelmarad süd tühmet ʁedürgera qʼüdhüra. ledübrürij südq'ɨra, ǯuhüra jüǯ külč'ür ǯüda ledübʁürij, ɢüšimara=xʷa minküm ǯüduχud jüzü sedʁür, lüzür=xa düz südq'ur ʁedgüne, edübʁürdišij, šübe ʁedgüne otsüda südde
ž	39	replace	ʒ	dolgažiteljnica saždɨji prodolžat' žizni tože služit džigɨj ǯɨžɨtʼi bagažnika uže režɨm bagažnik. žeskiy daže... možet skažu uvažat ženiχad saždɨji,
X	27	replace	χ	X\i-r\i-da Xabar Xulkara suruXlad\i- iXadkald\i- wiXd\i- uliXda GačaX haˁpX\i-ˁne X\i-d\i-n\i-w\i-kan Xajir Xaq'as lejiX Xajir. naˁXan X\i-lʲa Xujne... Xala waXt\i-nde Xajiš GačaXad X\i-l
\i-	287	replace	ɨ	šahatb\i-r šik\i-lʲa s\i-tq'\i-r tanɨšwaldɨ-bilišwaldɨ x\i-wad Kurban-bajram z\i- haji-kʷan raziwald\i-, nuw\i-kla сы- Idɨlʲ-adxa, r\i-w\i-lc'ara po-russki haˁpX\i-ˁne haʕpbɨsamat-e aa-uu ruurd\i-š, karb\i-r h\i-m\i- -- где-то ham\i- q'a|rd\i- Gačaxwald\i- haburʁan-baburʁan, h\i-m\i-? --woobchše ruurd\i-š sa-daxa ab\i-rl\i-, gertunuwd\i- ну-с gʲaG\i-r По-вашему. po-nashemu guǯe-guǯ ad\i-š d\i-šma Uraza-bajram, hac'ar\i-ma? X\i-lʲa adišd\i-, h\i-\i-r jidq'ɨr-qidq'ɨr waxt\i-nde x\i-d\i-lnowus - --hej a|ǯizd\i- prata-- hajal\i- dwa-tri h\i-\i-r, q\i-w\i-lc'ara h\i-x\i-r sa-sa hanuw\i-k wiXd\i- guǯa-guǯ madd\i-biše gde-to ары- q\i-lc'ara как-будто waχ-waχ warl\i-ješis h\i-k\i-s \-- ad\i-š, pisd\i- ixʲd\i- x\i-d\i-n\i-wd\i- X\i-l nind\i- jirq'\i-r. siqrig\i-n suruXlad\i- h\i-w\i-r r\i-w\i-lc'ar\i-ma gagd\i- lav\?g\i-r jaRmiškilšimb\i-r кьу- malw\i-c' aq'ald\i- w\i-xa r\i-w\i-n по-русски t'alak'b\i-r q\i-w\i-lc'arani r\i-w\i-lc'ar tike-tike xeR\i-lera didd\i- kuti-kuti Wali-baba raziwald\i- q'\i-rq'\i-r jet\i-r, eb\i-r еле-еле iXadkald\i- šakall\i-diš Rargʷar\i-ma hac'\i-r jidq'\i-r G\i-r\i-c' b\i-j hemiRiRad\i-jex\i-r h\i-w\i-d r\i-|x\i-ra hanuwd\i- X\i-r\i-da xes\i-mala šašlɨk-mašlɨk wald\i- x\i-d\i-nuwd\i- gɨr-gɨr ilčiwald\i- madd\i- qiq'as\i- dišd\i- w\i-r\i-h\i-rij h\i-gara wixd\i- waXt\i-nde haz\i-rd\i- сыв- ʁɨlge-ra hoow-laʔ jirq'\i-r wišir\i-ma? r\i-š sa-qwad-xibɨd jizd\i- x\i-d\i-ld\i- q'uˤndɨ-xibdɨ пол- kek'aʔdɨ-bajdɨ warl\i--ješ-da wɨr-wɨr-wɨr, hac'ar\i-ma Nizir-baba, --wes tuz-rug sejdɨbeg-bajdɨ ham\i-? ǯud\i- šahadašd\i- q'irq'\i-r. warl\i-wald\i- гьыкысы- gaˤš-dɨ w\i- хыных- tekt\i- X\i-d\i-n\i-w\i-kan h\i-w\i-dʲaq'u\?g k'al\i-b gʲaqʼara-gʲahara ixd\i- laazimd\i- w\i-dkald\i- w\i-d\i-
ä	25	replace	æ	sä lä Siftäd läjkar älgardɨš χɨrɨdäd älgara Siftä qärgɨrne ǯibrädɨ irajχän, läna siftä äčuχur läjerkardiši
|	9	replace	ˤ	q'a|rd\i- mu|q'a... u|rxud, mu|q'a ma|Rʷ, muq|ud mu|qa r\i-|x\i-ra a|ǯizd\i-
ˁ	143	replace	ˤ	naˁχan, uˁlke ɨˁχdibar daˁʔwibɨr uˁlkije maʁuˁraj mɨsljaʔaˁt uˁlkima hɨˁldis raˁq rɨˁχɨra, q'aˁsa aˁjibad haˁpX\i-ˁne ʁɨˁrarxa hɨbɨˁk daˁʔwija q'aˁsij χuˁr xaˁwas raʁaˁd daˁʔwɨja düʁürʁeˁra haˁbɨsamadte muˁq'a huˁq'li naˁhaˁgwaldɨ saˁʔaˁtala q'ʷaˁd reˁχe χɨˁbɨd aˁʔ q'ʷaˁb raˁhmat muˁɢʷa χaˁl ǯuʁuˁra jiχɨˁr, qʷaˁqaxixba naˁχan qwaˁr qʷaˁr aˁq'allɨ ʁɨˁmče muˁqud q'aˁsdɨ saˁʔat duʁuˁrʁes reχeˁ naˁχaˁn quʁuˁra. raˁka jiχeˁra c'uq'ʷaˁb muˁqa naˁχan=xa naˁχadijiq'ama duˁujmɨd haˁjwanna jiχeˁra. jiˁq'lekʲdad daˁʔwi naˁXan raˁq'ma aˁkaˁjetad χaˁr dɨʔɨdeklaq'uʔq'aˁsa χɨˁrɨχɨd qaˁsa haˁbɨˁ daˁʔwijala rɨˁqa saˁʔaˁde kiǯɨxɨˁd ǯamaˁʔatijera quʁuˁrij quˁdʁuˁra uˁq'li daˁʔwi=xʷa, Maˁhaˁmaˁd ʁɨˁrǯ raˁʁɨr=xʷa muˁqadɨ ʁɨˁrxa q'ʷaˁr qudʁuˁra, kiˁrχɨrij naˁχ maˁʔnibɨr hadxɨˁd daˁʔwija. raˁʁad=xa haˁapbiše uˁlkijed raˁhmatawɨd qudʁuˁra
Гь	6	replace	h	Гьɨmɨʔ=xa Гьawɨr=xa Горячий Говорят Гитлер Гʔɨnaˤχan
А	6	cyrillic		Алира Азербайджана А] Азербайджан Аа.
а	993	cyrillic		азербайджанский района давар гьигара картабыр эмисад хьагур джадалгад сабай маваай "зад аая къат зас рухьара дыгараа?" как караъара анувды къурумиша ига хыдылнова авыр давай лупхас аатий зиярат аьрия асукьа там арабыр проверка кара к1аъды душман богатый район мык1а1рыш арабад авырдиш ишийехьа саджигий аарий вязать хынхыла кихьа а къинабыр лап саъга ишира раз кьаба жарим спасибо саджиг1ил хакыр ха ани сакьал гадиер обедас вад )арака, ары- значит] ыха гьая рухьураа илена аса Мухамад даъави дуьзена Наоборот, быса наливали гемарых класса къугъара адыр му1к1а1 кывылцардиший аъад мибишда регулировать сенна решила къаравылди давияла зиярата хай даъвийед хани начала хватит, гьабыр ейванар завтра спасат компания. капыр эдемийра Аа. зада бадана, та1бир аъ гьаса айра капыракан Харарзада сабайды къацырдиш хьа къугъура Да, улихда армянар Хватит? ула гадиес веришаъас азебайджанский когда кар на къубайде аасий кьирак значит], абыр канал дыхыра айихда нам сывад ыгатий ыгара "раз" дирина асад саргьа1тбыр дархас мады гьякъама дулкира джибра илсанар участник гякьама икира ыхара рурура хала арамиш начальных ва аардиший рази гьа левиркьара аас маде... иширхьа дыкасы мукьа дахар ман йыкьа анi здесь)мида На давия абише гьалда гьарала оказывается=xa мелкашка "давай" начать? сада начнём кьахыра года райано мека силтарий оказывается=xa, магьа1раба ватан, тинбайды аара оказывается, дагул\\ заключительные виилера му1к1а1ды такой илера Давай рангадбыр джура ыхырай г1акуйне рахматых седхьура сувкура ад\\ cезона хватит адухун къурамиш хьарамзада знаю хъуна ай Азербайджан ывырай миса зад кьайьды Давайте. туда сывара; дюлкьера бейда г1а тьатьал кьа1баъ силгара вахтинды кьасды "пьяна" йигьа график ваъ зыха разговаривать Мирзахана хамкьус адыра израилед гякъама рыхьа сакар кал датхас ваз наоборот,] армянад ханиий гада анув спичкаед выхара аспахин ящерица къаджир По-вашему. са типа, латур ада хырыда абыр... минова спичкабыр джига кьа1ба, дагул къирмиша кавыыр кьва1р тиса ра1к1на хура Мирзахан вода. дахра хакь\\ выда йидкыга \\охра\\ проиграт ха\ оказывается=xʷa ара цакьараг кумаг аниий г1аъара хьай как-будто Последовательно сказка выха дуруъура гьановыс такой, кьабаъад ваъара йишира полугодавалый бизар садахьа адыш саънабай Рамазан фактически] къина зади а] дяхьа ыгати Азербайджана рухьад тина датхыдя ая иквиргарий кьира Значит] армян аймыд жизникан ватандид ватрухад пенсионат чейлахьа икигасы слова) вада ряхат вмешиваю, гьаъас славянский кьа1ба рухара гьар къинады йыхьа йидкыра спичкаймыкан положила хыдылновыкан саилийден сала аар хьура зыхьа надо буква някьакьды фитна называть гьая... арыш текана хана ватан даварxa мара зывас ад завершается, адиш маъ зарафатбыр хьадиш ошибка мартас амы иширай г1ай аде ыкьара разные гьайе анийии къадеше специально гадиера хьабысаат наливали. миновыхда руура гьад йикира ледикьа далгара (Лера, вахт даъвия хыбда бас равно гедиркьыра вода Алира атхыр дерехера валыгмар ыыра охранада му1къа кьарахьу тамаш да, кьирад къари ейван рыхъа внимание.] отсюда сукура лелшура яваш дархасы вызас за зад\\ мухамад руъура вашув\\ гьакывгырдиш оказывается гьыгара удачно дальше] къатхыр гьай ейвана лаъ (са) перевал. свидания" диъара ваас джукан (Лера:) сюда
и	643	cyrillic		Рутульский азербайджанский русский гьигара ид эмисад ки хьели истории интересный ишидя къурумиша йиркьыр ига пир аатий зиярат минкуьм аьрия эквийир авырдиш ишийехьа улис ыкысдиш саджигий аарий кихьа Горячий рождения къинабыр ишира йии симбише илерий жарим спасибо саджиг1ил гичьед ани гадиер мукьойит мия значит] видж джигьил илена кьирык лючир сиин даъави наливали кидишхьо кывылцардиший хьикьир хикбыр мибишда регулировать игит( решила къаравылди давияла киьрмыд зиярата даъвийед хани хватит, нийиъи миз письменность, мибише ихтилет компания. эдемийра идёт вии эгъидхуйне та1бир к1иркьыр диший сивигыр къацырдиш син эмид кии виший улихда йиркыр Хватит? гадиес веришаъас азебайджанский кепейухьли аасий миъбыр кьирак яхьмиш значит], айихда селение лирхьур ыгатий йицыд цихил дирина йиъи кичирдиш дулкира джибра илсанар участник рутульский икира арамиш рикыд хынимер тине аардиший ийден рази левиркьара йирк1ыр сиене дии иширхьа эминув сидигыр йичердиш вишийне здесь)мида чир левир давия абише джигий сидхьур лойчир хьовгырдиш йидкьыр (миъ сиптыр сюдулкерий диий кьир доносит силтарий тинбайды Гитлер диъи, йишир заключительные виилера илера кипхьыйне йиъид ишид хьибыр къирбыр кьир\\ мидукьунды хватит къурамиш еврейский миса ийи синбыр мит сигыйне михыдылнов иймыд ти вахтинды хынимеше или] силгара йигьа график йьий минов сулкерий илийден биийне кивхир ки\\ мид Мирзахана разговаривать икьлитхьур израилед иле ханиий кормит спичкаед были, и фикыр илды аспахин ящерица сиг1ыд вике къаджир ешемиш типа, шив къы1йид сипхьуйне ихьды йидкыд минова спичкабыр джига къирмиша эми тиса Мирзахан джи йидкыга виъи проиграт вступительные минку1м эхир аниий им тинув йишира ушийден кывыти бизар ми къина зади фактически] или тили йиид ыгати тина мий иквиргарий инспекторский кьира Значит] шиви йидкыр жизникан по-русски ватандид миновыс пенсионат дуруурий икигасы изды иширдиш ихьды\\ и.. вмешиваю, йицыр дишийке гикьихьир миъгякь славянский виий хьибыд историе минув къинады ученик) ишир йидкыра йихир спичкаймыкан положила саилийден хьил фитна диш мибыр виид адиш и] и...] хьадиш тиня ошибка яхмиш иширай кьирбыр хейийир анийии специально гадиера наливали. руурий миновыхда йикира гьэми ледикьа ий даъвия йидкырдиш эдеми гедиркьыра Алира кьирад джиг1илед къари внимание.] решение увидев (йид) риǯ йихи\\ лиир илесды гьакывгырдиш къыхьырдиш вишир свидания" ыыджигий шивийден (йиъи) диъара мийих\\
