model	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
gpt-4o-transcribe_split1	('aˤ', 0.0, 21)	('dʲ', 0.0, 1)	('gʲ', 0.0, 2)	('gʷ', 0.0, 3)	('h', 0.0, 139)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('lʲ', 0.0, 5)	('pʼ', 0.0, 1)	('q', 0.0, 21)	('qʼ', 0.0, 27)	('qʼʷ', 0.0, 2)	('tʼ', 0.0, 10)	('t͡sʼ', 0.0, 8)	('t͡ʃʼ', 0.0, 8)	('uː', 0.0, 2)	('uˤ', 0.0, 13)	('v', 0.0, 10)	('xʷ', 0.0, 58)	('y', 0.0, 12)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʁ', 0.0, 45)	('ʃʲː', 0.0, 2)
whisper-large-v3_split1_cyrillic	('aˤ', 0.0, 21)	('dʲ', 0.0, 1)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('lʲ', 0.0, 5)	('pʼ', 0.0, 1)	('qʼ', 0.0, 27)	('qʼʷ', 0.0, 2)	('tʼ', 0.0, 10)	('t͡sʼ', 0.0, 8)	('t͡ʃʼ', 0.0, 8)	('uː', 0.0, 2)	('uˤ', 0.0, 13)	('v', 0.0, 10)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('ʔ', 0.0, 89)	('t͡s', 0.12, 6)	('ɢ', 0.16, 32)	('y', 0.25, 12)	('o', 0.26, 35)	('aː', 0.27, 25)	('q', 0.33, 21)
whisper-large-v3_split1	('dʲ', 0.0, 1)	('kʷ', 0.0, 3)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('pʼ', 0.0, 1)	('qʼʷ', 0.0, 2)	('tʼ', 0.0, 10)	('uː', 0.0, 2)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('aː', 0.11, 25)	('uˤ', 0.19, 13)	('lʲ', 0.29, 5)	('aˤ', 0.3, 21)	('v', 0.33, 10)	('o', 0.34, 35)	('xʷ', 0.44, 58)	('qʼ', 0.48, 27)	('ɢ', 0.55, 32)	('t', 0.6, 32)	('t͡s', 0.6, 6)	('ʔ', 0.6, 89)	('x', 0.63, 122)
Qwen2-Audio-7B-Instruct_split1_cyrillic	('aˤ', 0.0, 21)	('dʲ', 0.0, 1)	('gʲ', 0.0, 2)	('gʷ', 0.0, 3)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('lʲ', 0.0, 5)	('pʼ', 0.0, 1)	('qʼ', 0.0, 27)	('qʼʷ', 0.0, 2)	('tʼ', 0.0, 10)	('t͡sʼ', 0.0, 8)	('t͡ʃʼ', 0.0, 8)	('uː', 0.0, 2)	('uˤ', 0.0, 13)	('v', 0.0, 10)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('ʔ', 0.0, 89)	('t͡s', 0.13, 6)	('aː', 0.19, 25)	('o', 0.22, 35)	('q', 0.24, 21)
Qwen2-Audio-7B-Instruct_split1	('gʷ', 0.0, 3)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('pʼ', 0.0, 1)	('qʼʷ', 0.0, 2)	('uː', 0.0, 2)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('uˤ', 0.11, 13)	('tʼ', 0.17, 10)	('aː', 0.19, 25)	('o', 0.19, 35)	('t͡s', 0.25, 6)	('xʷ', 0.28, 58)	('ɢ', 0.32, 32)	('lʲ', 0.33, 5)	('aˤ', 0.34, 21)	('q', 0.39, 21)	('kʷ', 0.4, 3)	('v', 0.4, 10)	('ʒ', 0.4, 4)	('qʼ', 0.49, 27)	('dʲ', 0.5, 1)	('t', 0.52, 32)
wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns_zero_shot	('aˤ', 0.0, 21)	('dʲ', 0.0, 1)	('gʲ', 0.0, 2)	('gʷ', 0.0, 3)	('kʷ', 0.0, 3)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('lʲ', 0.0, 5)	('pʼ', 0.0, 1)	('q', 0.0, 21)	('qʼ', 0.0, 27)	('qʼʷ', 0.0, 2)	('tʼ', 0.0, 10)	('t͡sʼ', 0.0, 8)	('t͡ʃʼ', 0.0, 8)	('uˤ', 0.0, 13)	('xʷ', 0.0, 58)	('y', 0.0, 12)	('ɢ', 0.0, 32)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʁ', 0.0, 45)	('ʃʲː', 0.0, 2)	('χ', 0.0, 72)
wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns_split3	('aː', 0.0, 25)	('dʲ', 0.0, 1)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('pʼ', 0.0, 1)	('qʼʷ', 0.0, 2)	('uː', 0.0, 2)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('uˤ', 0.12, 13)	('o', 0.21, 35)	('tʼ', 0.25, 10)	('v', 0.27, 10)	('t͡s', 0.29, 6)	('kʷ', 0.33, 3)	('lʲ', 0.33, 5)	('aˤ', 0.47, 21)	('f', 0.5, 2)	('xʷ', 0.5, 58)	('q', 0.62, 21)	('h', 0.65, 139)	('gʲ', 0.67, 2)	('y', 0.69, 12)
wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns_split2	('dʲ', 0.0, 1)	('kʷ', 0.0, 3)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('pʼ', 0.0, 1)	('qʼʷ', 0.0, 2)	('uː', 0.0, 2)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('ɢ', 0.06, 32)	('tʼ', 0.13, 10)	('t͡s', 0.22, 6)	('v', 0.24, 10)	('f', 0.33, 2)	('lʲ', 0.33, 5)	('uˤ', 0.35, 13)	('aˤ', 0.41, 21)	('xʷ', 0.49, 58)	('gʷ', 0.5, 3)	('q', 0.55, 21)	('qʼ', 0.55, 27)	('aː', 0.57, 25)	('t', 0.59, 32)
wav2vec2-large-xlsr-japlmthufielta-ipa1000-ns_split1	('dʲ', 0.0, 1)	('kʼʲ', 0.0, 6)	('pʼ', 0.0, 1)	('qʼʷ', 0.0, 2)	('uː', 0.0, 2)	('ɢʷ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('aː', 0.08, 25)	('o', 0.12, 35)	('uˤ', 0.25, 13)	('v', 0.27, 10)	('t͡s', 0.29, 6)	('kʷ', 0.4, 3)	('tʼ', 0.44, 10)	('xʷ', 0.47, 58)	('kʼ', 0.5, 1)	('lʲ', 0.5, 5)	('aˤ', 0.53, 21)	('q', 0.57, 21)	('ɢ', 0.6, 32)	('f', 0.67, 2)	('gʲ', 0.67, 2)	('ɣ', 0.67, 1)	('t', 0.69, 32)
Qwen2.5-Omni-7B_split1_cyrillic	('aˤ', 0.0, 21)	('dʲ', 0.0, 1)	('gʲ', 0.0, 2)	('gʷ', 0.0, 3)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('lʲ', 0.0, 5)	('pʼ', 0.0, 1)	('qʼ', 0.0, 27)	('qʼʷ', 0.0, 2)	('tʼ', 0.0, 10)	('t͡sʼ', 0.0, 8)	('t͡ʃʼ', 0.0, 8)	('uː', 0.0, 2)	('uˤ', 0.0, 13)	('v', 0.0, 10)	('y', 0.0, 12)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('ʔ', 0.0, 89)	('ɢ', 0.1, 32)	('aː', 0.21, 25)	('t͡s', 0.24, 6)
Qwen2.5-Omni-7B_split1	('dʲ', 0.0, 1)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('pʼ', 0.0, 1)	('qʼʷ', 0.0, 2)	('uː', 0.0, 2)	('uˤ', 0.0, 13)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('aˤ', 0.07, 21)	('ɢ', 0.11, 32)	('aː', 0.14, 25)	('tʼ', 0.17, 10)	('t͡sʼ', 0.22, 8)	('t͡s', 0.25, 6)	('kʷ', 0.29, 3)	('o', 0.31, 35)	('y', 0.32, 12)	('lʲ', 0.33, 5)	('xʷ', 0.33, 58)	('ʒ', 0.4, 4)	('qʼ', 0.42, 27)	('t', 0.45, 32)
whisper-small_split1	('aː', 0.0, 25)	('aˤ', 0.0, 21)	('dʲ', 0.0, 1)	('d͡ʒ', 0.0, 18)	('gʲ', 0.0, 2)	('gʷ', 0.0, 3)	('kʷ', 0.0, 3)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('lʲ', 0.0, 5)	('pʼ', 0.0, 1)	('qʼ', 0.0, 27)	('qʼʷ', 0.0, 2)	('tʼ', 0.0, 10)	('t͡s', 0.0, 6)	('t͡sʼ', 0.0, 8)	('t͡ʃ', 0.0, 27)	('t͡ʃʼ', 0.0, 8)	('uː', 0.0, 2)	('uˤ', 0.0, 13)	('xʷ', 0.0, 58)	('y', 0.0, 12)	('ɢ', 0.0, 32)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)
custom_zero_shot	('aː', 0.0, 25)	('aˤ', 0.0, 21)	('dʲ', 0.0, 1)	('gʲ', 0.0, 2)	('gʷ', 0.0, 3)	('kʷ', 0.0, 3)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('lʲ', 0.0, 5)	('pʼ', 0.0, 1)	('q', 0.0, 21)	('qʼ', 0.0, 27)	('qʼʷ', 0.0, 2)	('tʼ', 0.0, 10)	('t͡sʼ', 0.0, 8)	('t͡ʃʼ', 0.0, 8)	('uː', 0.0, 2)	('uˤ', 0.0, 13)	('xʷ', 0.0, 58)	('y', 0.0, 12)	('ɢ', 0.0, 32)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʁ', 0.0, 45)
custom_split3	('aː', 0.0, 25)	('dʲ', 0.0, 1)	('kʷ', 0.0, 3)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('lʲ', 0.0, 5)	('pʼ', 0.0, 1)	('qʼʷ', 0.0, 2)	('t͡s', 0.0, 6)	('uː', 0.0, 2)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('o', 0.08, 35)	('v', 0.18, 10)	('uˤ', 0.24, 13)	('tʼ', 0.31, 10)	('aˤ', 0.36, 21)	('f', 0.4, 2)	('gʷ', 0.4, 3)	('gʲ', 0.5, 2)	('t', 0.54, 32)	('xʷ', 0.6, 58)	('q', 0.64, 21)
custom_split2	('dʲ', 0.0, 1)	('kʷ', 0.0, 3)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('lʲ', 0.0, 5)	('pʼ', 0.0, 1)	('qʼʷ', 0.0, 2)	('uː', 0.0, 2)	('uˤ', 0.0, 13)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('ɢ', 0.22, 32)	('v', 0.26, 10)	('tʼ', 0.27, 10)	('gʷ', 0.33, 3)	('t͡s', 0.36, 6)	('aː', 0.5, 25)	('xʷ', 0.51, 58)	('q', 0.57, 21)	('t', 0.58, 32)	('qʼ', 0.59, 27)	('aˤ', 0.63, 21)	('f', 0.67, 2)
custom_split1_noinit	('dʲ', 0.0, 1)	('gʷ', 0.0, 3)	('kʷ', 0.0, 3)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('lʲ', 0.0, 5)	('pʼ', 0.0, 1)	('qʼʷ', 0.0, 2)	('t͡s', 0.0, 6)	('uː', 0.0, 2)	('v', 0.0, 10)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('o', 0.1, 35)	('aː', 0.27, 25)	('tʼ', 0.35, 10)	('uˤ', 0.38, 13)	('aˤ', 0.41, 21)	('xʷ', 0.42, 58)	('f', 0.5, 2)	('gʲ', 0.67, 2)	('t', 0.67, 32)	('x', 0.68, 122)	('h', 0.7, 139)
custom_split1_noavg	('dʲ', 0.0, 1)	('kʼ', 0.0, 1)	('kʼʲ', 0.0, 6)	('pʼ', 0.0, 1)	('uː', 0.0, 2)	('ɢʷ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('o', 0.1, 35)	('v', 0.22, 10)	('aː', 0.28, 25)	('lʲ', 0.29, 5)	('t͡s', 0.29, 6)	('xʷ', 0.35, 58)	('kʷ', 0.4, 3)	('uˤ', 0.42, 13)	('tʼ', 0.44, 10)	('q', 0.52, 21)	('ɢ', 0.62, 32)	('aˤ', 0.63, 21)	('f', 0.67, 2)	('gʲ', 0.67, 2)	('qʼʷ', 0.67, 2)	('x', 0.67, 122)	('t', 0.7, 32)
custom_split1_lm	('dʲ', 0.0, 1)	('kʼʲ', 0.0, 6)	('pʼ', 0.0, 1)	('qʼʷ', 0.0, 2)	('uː', 0.0, 2)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('aː', 0.15, 25)	('o', 0.21, 35)	('t͡s', 0.29, 6)	('v', 0.31, 10)	('kʷ', 0.33, 3)	('lʲ', 0.33, 5)	('uˤ', 0.44, 13)	('tʼ', 0.47, 10)	('gʷ', 0.5, 3)	('kʼ', 0.5, 1)	('aˤ', 0.52, 21)	('xʷ', 0.62, 58)	('q', 0.65, 21)	('x', 0.66, 122)	('f', 0.67, 2)	('gʲ', 0.67, 2)
custom_split1	('dʲ', 0.0, 1)	('kʼʲ', 0.0, 6)	('lʲ', 0.0, 5)	('pʼ', 0.0, 1)	('qʼʷ', 0.0, 2)	('uː', 0.0, 2)	('ɢʷ', 0.0, 1)	('ɣ', 0.0, 1)	('ɨˤ', 0.0, 1)	('ʃʲː', 0.0, 2)	('o', 0.2, 35)	('aː', 0.21, 25)	('t͡s', 0.29, 6)	('kʷ', 0.33, 3)	('v', 0.43, 10)	('uˤ', 0.44, 13)	('tʼ', 0.47, 10)	('aˤ', 0.5, 21)	('gʷ', 0.5, 3)	('kʼ', 0.5, 1)	('xʷ', 0.61, 58)	('q', 0.63, 21)	('x', 0.66, 122)	('f', 0.67, 2)	('gʲ', 0.67, 2)